Title,Region,Country,Institution,Industry,Topic,Year,Month,Author,External URL,File Name,Cloud drive URL,# of companies (mandated or voluntarily disclosing),Scope 3?,Mandatory?,Description
Sustainable Corporate Governance Initiative,European Union,European Union,European Commission,,,,,,,,,,,,"The initiative was established to improve the EU regulatory framework on company law and governance by helping companies manage long-term sustainability goals such as social and human rights, climate change, environmental protection, etc. by introducing a duty of care and mandatory due diligence."
EU Non-Financial Reporting Directive,European Union,European Union,European Commission,,,,,,,,,,,,It requires public companies with more than 500 employees to provide accurate data on social and environmental practices they have adopted to aid shareholders.
German Supply Chain Due Diligence Legislation,Germany,Germany,German Government,,,,,,,,,,,,"The act will go into effect on January 1, 2023, requiring the applicable companies to determine and assess risks to human rights and the environment within their supply chains, as well as to establish effective risk management systems. The act is applicable to German-based companies having more than 3,000 employees, and the threshold will be reduced to 1,000 starting January 1, 2024."
National Climate Agreement (Klimaatakkoord),Netherlands,Netherlands,Dutch Government,,,,,,,,,,,,"The Klimaatakkoord contains agreements with specific sectors to achieve climate goals. The listed sectors are: electricity, industry, built environment, traffic and transport, and agriculture."
FCA’s Climate-related Disclosure Regime,United Kingdom,United Kingdom,Financial Conduct Authority,,,,,,,,,,,,The regulation requires commercial companies with a premium listing to disclose in line with the TCFD recommendations.
"Mandatory Climate-related Financial Disclosures by Publicly Quoted Companies, Large Private Companies and LLPs (Non-binding guidance)",United Kingdom,United Kingdom,"Department for Business, Energy and Industrial Strategy",,,,,,,,,,,,The guidance helps companies and limited liability partnerships (LLPs) understand how to meet new mandatory climate-related financial disclosure requirements.
Articles 964a-964c of the Code of Obligations,Switzerland,Switzerland,Federal Audit Oversight Authority,,,,,,,,,,,,"Swiss companies of public interest must prepare an annual report on non-financial matters covering environmental issues, social issues, employee-related issues, human rights, and combating corruption."
Article 964j-964l of the Code of Obligations,Switzerland,Switzerland,Federal Audit Oversight Authority,,,,,,,,,,,,"Registered companies in Switzerland must comply with obligations of due diligence in the supply chain and report if: 1. they place in free circulation or process in Switzerland minerals containing tin, tantalum, tungsten or gold or metals from conflict-affected and high-risk areas; or 2. they supply products or services that are produced by child labor."
"Environmental Risk Management for Asset Managers, Banks and Insurers",Singapore,Singapore,Monetary Authority of Singapore,,,,,,,,,,,,"The guidance lays out expectations for asset managers, banks, and insurers to improve the resilience of funds and segregated mandates they manage by laying out effective environmental risk management procedures that can be implemented."
ESG Reporting Guide,Hong Kong,Hong Kong,Hong Kong Securities Exchange,,,,,,,,,,,,"Proposed in 2015, the regulation went through changes in 2020 for introducing ESG mandatory requirements for corporations. There is a requirement to report on the environmental and social factors."
Circular to Management Companies of SFC-authorized Unit Trusts and Mutual Funds – ESG Funds,Hong Kong,Hong Kong,Securities and Futures Commission of Hong Kong,,,,,,,,,,,,"By enhancing the disclosure standard of ESG funds, the circular aims to improve their comparability, transparency and visibility."
Instrução Normativa 480/2009,Brazil,Brazil,Brazilian Securities Commission (CVM),,,,,,,,,,,,"Items 7 and 10 of Annex 24 require listed corporations to include the following environmental sustainability information in their yearly reports: environmental policies, costs for compliance with environmental regulations and international standards, and third-party assurance check."
"DECISÃO DE DIRETORIA Nº 125/2015/V/I, 26 de maio de 2015",Brazil,Brazil,"Companhia de Tecnologia de Saneamento Ambiental de Brasil

(CETESB)",,,,,,,,,,,,CETESB in São Paulo requires companies in highly polluting industries such as manufacturing and energy to report scope 1 and 2 GHG emissions.
Resolution CMN nr 4.661/2018,Brazil,Brazil,National Monetary Council,,,,,,,,,,,,"This resolution sets out guidelines for listed entities to “carry out their activities with good faith, loyalty and diligence” and “ensure high ethical standards” in the application of resources. Article 10(4) states these entities “should consider in the analysis of risks, whenever possible, the aspects related to economic, environmental, social and investment governance sustainability”."
Corporate Governance Code Amendments 2018,Japan,Japan,Japan Exchange Group,,,,,,,,,,,,The code outlines core principles for successful corporate governance with the goal of achieving mid to long-term growth and increasing corporate value.
ESG-related Amendments to the Disclosure Rules Applicable to Listed Companies,China,China,China Securities Regulatory Commission,,,,,,,,,,,,"The act mandates that companies, corporations and investors report on disclosure principles, content, and scopes, as well as liabilities, emphasizing the necessity of transparency for both companies and investors."
Measures for the Assessment of Information Disclosure of Listed Companies on the Shenzhen Stock Exchange (2020 revision),China,China,Shenzhen Stock Exchange,,,,,,,,,,,,"These metrics analyze whether listed firms have taken the initiative to disclose their ESG performance, as well as if the substance of their disclosure reports is comprehensive and complete enough to assess their social responsibility."
Workplace Gender Equality Act,Australia,Australia,"Australian Government, Workplace Gender Equality Agency",,,,,,,,,,,,"This act requires non-public sector companies with more than 100 employees to submit a report to the Workplace Gender Equality agency annually, detailing the gender composition of their workforce, the gender composition of their governing bodies, gender remuneration, and anything else related to gender-based harassment and discrimination."
ASX Corporate Governance Principles and Recommendations: 4th edition,Australia,Australia,ASX Corporate Governance Council,,,,,,,,,,,,"By focusing on material environmental and social risks, the fourth edition of the law pushes listed firms to strengthen climate and non-financial risk disclosure."
National Greenhouse and Energy Reporting Regulation (NGER),Australia,Australia,"Australian Government, Department of the Environment and Energy",,,,,,,,,,,,NGER was developed as a framework for energy and emissions reporting. The Determination 2008 provides methods for calculating GHG emissions and energy data provided by the NGER act. Amendments to this act are made annually.
The Corporations Act 2001,Australia,Australia,Australia Securities and Investments Commission,,,,,,,,,,,,"Companies filing director’s reports must disclose social and environmental information, as well as ethical information, under this Act. It also applies to superannuation funds, which must explain how environmental, social, and governance factors are factored into investment decisions."
,,,,,,,,,,,,,,,
