Data,Link,Título,Data Detalhada,Conteúdo Detalhado
"26 Jun 2023,ISSB publishes the first global sustainability disclosure standards,Global,Social; Corporate Structure; Governance; Risk Management; Environment; Sustainable Finance; Green Loans; Green Bonds; Shareholder Engagement,Investment Banking; Capital Markets; Government and Non-Profit Organisations; Investments and Asset Management; Risk management; Financial Services,
                                                    International Sustainability Standards Board
                                                ,",https://www.globaldata.com/esg/regulatorysummary/issb-publishes-the-first-global-sustainability-disclosure-standards,ISSB publishes the first global sustainability disclosure standards,"Wednesday, 28 June 2023","The International Sustainability Standards Board (ISSB) announced its first standards today, IFRS S1 and IFRS S2, ushering in a new era of sustainability-related reporting in global capital markets. The Standards will help to increase trust and confidence in corporate sustainability disclosures in order to guide investment decisions. For the first time, the Standards establish a consistent vocabulary for communicating the impact of climate-related risks and opportunities on a company's prospects. ISSB Chair Emmanuel Faber will officially launch the Standards at the IFRS Foundation's annual conference, as well as through events hosted by stock exchanges around the world, including those in Frankfurt, Johannesburg, Lagos, London, New York, and Santiago de Chile; the ASEAN Capital Markets Forum will also host a launch event in Singapore. About the Standards : IFRS S1 establishes a series of disclosure standards to enable businesses to communicate with investors about the sustainability-related risks and opportunities they face in the short, medium, and long term. IFRS S2 specifies particular climate-related disclosures and is intended to be used in conjunction with IFRS S1. Both completely integrate the Task Force on Climate-related Financial Disclosures (TCFD) guidelines."
"22 Jun 2023,ICMA Issues Transition Finance and Climate-themed Bond Guideline updates,Global,Carbon Emissions; Climate Change; Environment; Natural Resources; Risk Management; Ethics; Governance; Sustainable Finance; Green Bonds; Green Loans,Investment Banking; Capital Markets; Investments and Asset Management; Risk management; Financial Services,
                                                    International Capital Markets Association
                                                ,",https://www.globaldata.com/esg/regulatorysummary/icma-issues-transition-finance-and-climate-themed-bond-guideline-updates,ICMA Issues Transition Finance and Climate-themed Bond Guideline updates,"Friday, 23 June 2023","The following publications and resources have been made available: 1. The CTFH 2023 version, the first update since its initial publication in 2020, incorporates market and government progress on climate transition guidelines and disclosures. The document provides specific recommendations for climate-themed green, sustainability, and sustainability-linked bonds, as well as acknowledgement of the establishment of ""climate transition"" bonds in several jurisdictions. It includes new annexes with illustrative disclosures, infographics, and a list of general market and government sector recommendations for climate-themed bonds. 2. The SLBP and accompanying tools will be updated in 2023, with newly adapted terminology for sovereign issuers and new measures for sovereigns and social issues in the KPI register."
"8 Jun 2023,OECD Guidelines on Responsible Business Conduct for Multinational Enterprises,Global,Circular Economy; Health and Safety; Climate Change; Carbon Emissions; Pollution; Resource Scarcity; Natural Resources; Biodiversity; Environment; Corporate Structure; Corruption and Bribery; Ethics; Governance; Risk Management; Human Rights; Community Impact; Diversity and Inclusion; Mineral Resource Optimization; Water Management,Consumer; Aerospace and Defence; Travel and Tourism; Agriculture & Forestry; Transportation; Infrastructure and Logistics; Chemicals; Packaging; Industrial Goods & Machinery; Mining; Technology; Media and Telecom; Automotive; Business and Consumer Services; Financial Services; Healthcare; Sport; Construction,
                                                    Organisation for Economic Co-operation and Development
                                                ,",https://www.globaldata.com/esg/regulatorysummary/oecd-guidelines-on-responsible-business-conduct-for-multinational-enterprises,OECD Guidelines on Responsible Business Conduct for Multinational Enterprises,"Friday, 09 June 2023","Governmental advice to multinational corporations is included in the OECD Guidelines for Multinational Enterprises on Responsible Business Conduct. They seek to reduce negative effects on issues covered by the Guidelines that may be related to an enterprise's activities, goods, and services, and to promote the positive contributions that businesses can make to social, economic, and environmental advancement. The Guidelines address all important facets of corporate social responsibility, such as taxation, bribery, consumer protection, environmental protection, labour rights, and science and technology. In addition to updated implementation guidelines for the National Contact Points for Responsible Business Conduct, the 2023 edition of the Guidelines offers updated recommendations for responsible business conduct in a number of critical areas, including climate change, biodiversity, technology, business integrity, and supply chain due diligence."
"7 Jun 2023,PRI : Technical guidance on Human Rights due diligence for private market investors,Global,Fair Employment; Indigenous Community Management; Fair Wages; Forced Labour & Child Labour; Sustainable Finance; Human Rights; Risk Management; Governance; Ethics; Corporate Structure; Social,Investment Banking; Capital Markets; Investments and Asset Management; Government and Non-Profit Organisations; Risk management; Financial Services,
                                                    United Nations Principles for Responsible Investment 
                                                ,",https://www.globaldata.com/esg/regulatorysummary/pri-technical-guidance-on-human-rights-due-diligence-for-private-market-investors,PRI : Technical guidance on Human Rights due diligence for private market investors,"Thursday, 08 June 2023","This guidance provides tools and resources to assist private market investors in adopting consistent human rights practises and making better investment decisions. Given the degree of control and/or influence that private market investors frequently have over their underlying investments, investors can be well positioned to integrate human rights into their investing processes and promote improvements that lead to better human rights results. Severe human rights consequences can frequently pose reputational, operational, and financial difficulties. Investors can and should collaborate with their investments to prevent and/or repair the effects on impacted parties, as well as potentially lower these risks."
"6 Jun 2023,Polish Government approves an amendment to the Act on Packaging and Packaging Waste Management,Europe; Poland,Hazardous Waste Management; Environment; Sustainable Packaging; Pollution; Climate Change; Circular Economy,Consumer; Alcoholic Beverages; Non-Alcoholic Beverages; Food; Packaging; Recycling; Packaging Material; Retail,
                                                    Ministry of Climate
                                                ,",https://www.globaldata.com/esg/regulatorysummary/polish-government-approves-an-amendment-to-the-act-on-packaging-and-packaging-waste-management,Polish Government approves an amendment to the Act on Packaging and Packaging Waste Management,"Wednesday, 07 June 2023","The draught, approved by the Council of Ministers on June 6, 2023, conforms Polish law to European Union solutions. It is about the EU directive on decreasing the environmental impact of some plastic products. A deposit-refund system for disposable plastic bottles up to 3 litres, reusable glass bottles up to 1.5 litres, and metal cans with a capacity of up to 1 litre will be implemented on January 1, 2025."
"1 Jun 2023,ESAs provide a shared understanding of Greenwashing and caution on associated Risks,Europe,Social; Environment; Risk Management; Governance; Ethics; Corporate Structure; Shareholder Engagement; Board Effectiveness,Investment Banking; Investments and Asset Management; Risk management; Financial Services,
                                                    European Securities and Markets Authority
                                                ,",https://www.globaldata.com/esg/regulatorysummary/esas-provide-a-shared-understanding-of-greenwashing-and-caution-on-associated-risks,ESAs provide a shared understanding of Greenwashing and caution on associated Risks,"Friday, 02 June 2023","The Progress Reports on Greenwashing in the Financial Sector are published by the European Supervisory Authorities (ESAs; EBA, EIOPA, and ESMA). view the EIOPA, ESMA, and EBA reports. In these studies, the ESAs present an overarching framework for understanding greenwashing that is applicable to market participants in all areas under their various purviews, including banking, insurance, pensions, and financial markets. In May 2024, the ESAs will release their final greenwashing findings, and they'll also take into account their final recommendations, which could include modifying the EU legislative framework."
"26 May 2023,MAS has issued new guidance on mitigating the risks of terrorist financing,Singapore,Ethics; Corruption and Bribery; Governance; Risk Management,Government and Non-Profit Organisations; Risk management; Financial Services,
                                                    Monetary Authority of Singapore
                                                ,",https://www.globaldata.com/esg/regulatorysummary/mas-has-issued-new-guidance-on-mitigating-the-risks-of-terrorist-financing,MAS has issued new guidance on mitigating the risks of terrorist financing,"Monday, 29 May 2023","The Monetary Authority of Singapore (MAS) announced fresh recommendations for financial institutions (FIs) on assessing their counter-terrorism funding (CFT) procedures on May 26, 2023. The advise follows the regulator's industry-wide study, which looked at CFT-related controls and FIs' understanding of terrorist funding. The advise summarises MAS' significant observations and outlines the supervisory expectations against which FIs should evaluate their controls."
"25 May 2023,Anti-Money Laundering and Counter-Terrorism Financing Guidelines,Hong Kong; Asia,Risk Management; Governance; Corruption and Bribery; Related Party Transactions; Money Laundering,Cards & Payments; Commercial Banking; Retail Banking and Lending; Risk management; Financial Services,
                                                    Hong Kong Monetary Authority
                                                ,",https://www.globaldata.com/esg/regulatorysummary/anti-money-laundering-and-counter-terrorism-financing-guidelines,Anti-Money Laundering and Counter-Terrorism Financing Guidelines,"Wednesday, 31 May 2023","Section 7 of the Anti-Money Laundering and Counter-Terrorist Financing Ordinance (AMLO) and Section 7(3) of the Banking Ordinance (BO) permit the publication of this guideline. This recommendation also 1. Gives a broad overview of the topics of money laundering and terrorism financing (ML/TF), including a description of the key clauses of the relevant AML/CFT law in Hong Kong; and 2. Offers helpful advice to help Authorized Institutions and their senior management create and implement their own policies, practices, and controls in the pertinent operational areas while taking into account their unique circumstances in order to comply with the pertinent AML/CFT statutory and regulatory requirements. The goal of the guidelines is to increase effectiveness."
"24 May 2023,Science Based Targets Network (SBTN) has released first corporate science-based targets for nature,Global,Risk Management; Community Impact; Human Rights; Governance; Ethics; Environment; Biodiversity; Pollution; Natural Resources; Carbon Emissions; Climate Change; Circular Economy; Health and Safety,Consumer; Aerospace and Defence; Travel and Tourism; Agriculture & Forestry; Government and Non-Profit Organisations; Transportation; Infrastructure and Logistics; Chemicals; Packaging; Industrial Goods & Machinery; Mining; Technology; Media and Telecom; Automotive; Business and Consumer Services; Financial Services; Healthcare; Construction,
                                                    Science Based Targets
                                                ,",https://www.globaldata.com/esg/regulatorysummary/science-based-targets-network-sbtn-has-released-first-corporate-science-based-targets-for-nature,Science Based Targets Network (SBTN) has released first corporate science-based targets for nature,"Friday, 26 May 2023","The first science-based nature targets provide corporations with the information, methodologies, and skills they need to succeed in an equitable net zero, nature-positive future. The new science-based nature targets aim to provide enterprises with the knowledge, methodology, and tools they need to assess their environmental impacts comprehensively and set targets to remediate them. They are also supposed to give investors looking to deploy capital in accordance with the Global Biodiversity Framework's (GBF) objectives with decision-useful information on nature-related risks. SBTN has formed a pilot group of 17 companies who want to set nature goals this year. These organisations were chosen from a pool of 55 applicants based on three criteria: preparedness, representativeness, and environmental impact. The companies chosen represent industries and supply networks that have a significant environmental impact."
"18 May 2023,China forms a national financial regulatory authority,China; Asia,Risk Management; Governance,Cards & Payments; Retail Banking and Lending; Investment Banking; Commercial Banking; Government and Non-Profit Organisations; Investments and Asset Management; Risk management; Financial Services,
                                                    State Council of the People's Republic of China
                                                ,",https://www.globaldata.com/esg/regulatorysummary/china-forms-a-national-financial-regulatory-authority,China forms a national financial regulatory authority,"Monday, 22 May 2023","The National Administration of Financial Regulation (NAFR) was officially established as China's new financial regulator on Thursday, marking an important step forward in the country's institutional reform of financial supervision. The NAFR, which reports directly to the State Council, is based on the China Banking and Insurance Regulatory Commission.
With the exception of the securities sector, the new administration is in charge of regulating the financial industry. Certain functions of the People's Bank of China and the China Securities Regulatory Commission will be transferred to it."
"18 May 2023,Changes in LEC regulations,Brazil; South America,Governance; Risk Management,Investment Banking; Capital Markets; Investments and Asset Management; Risk management; Financial Services,
                                                    Banco Central do Brasil
                                                ,",https://www.globaldata.com/esg/regulatorysummary/changes-in-lec-regulations,Changes in LEC regulations,"Tuesday, 23 May 2023","All exposures to the same client must be limited to a maximum of 25% of Level I Reference Equity (Patrimônio de Referência, PR). Exposures to creditors or sub-creditors with exposures of up to 20% of the respective book value were included under specific restrictions."
"17 May 2023,ACSI Revises Voting Procedures to Encourage Gender Parity on Boards,Australia,Governance; Corporate Structure; Board Effectiveness; Board Diversity; Shareholder Engagement,Government and Non-Profit Organisations; Business and Consumer Services; Financial Services,
                                                    Department of the Treasury, Australia
                                                ,",https://www.globaldata.com/esg/regulatorysummary/acsi-revises-voting-procedures-to-encourage-gender-parity-on-boards,ACSI Revises Voting Procedures to Encourage Gender Parity on Boards,"Tuesday, 23 May 2023","The revised voting rules will apply to the ASX201–300, where women occupy an average of 34% of board seats, starting in July 2023. In order to establish and sustain a long-term viable, successful, and efficient business, ACSI believes that boards should be composed of individuals who not only work well together but also bring diversity of thought to the board decision-making process. In addition to the fundamental qualifications of age, gender, and ethnicity, well-structured boards also consider essential abilities and experience. According to the policy, ASX300 businesses may receive recommendations ""against"" the reappointment of male directors if women do not hold at least 30% of board positions."
"16 May 2023,Council adopts new law to reduce global deforestation,Europe,Governance; Natural Resources; Pollution; Biodiversity; Environment; Climate Change,Consumer; Cosmetics & Toiletries; Food & Drinks Ingredients; Agriculture & Forestry,
                                                    Council of the European Union
                                                ,",https://www.globaldata.com/esg/regulatorysummary/council-adopts-new-law-to-reduce-global-deforestation,Council adopts new law to reduce global deforestation,"Monday, 22 May 2023",The Council gave final approval to a regulation aimed at reducing the risk of deforestation and forest degradation related with products placed on or exported from the EU market. The EU is a significant consumer and trader of goods and products that contribute significantly to deforestation. The new restrictions are intended to ensure that the EU's consumption and trade of these commodities and products do not contribute to deforestation or further degradation of forest ecosystems. 
"12 May 2023,Basel III Capital Regulations of the RBI,India; Asia,Governance,Commercial Banking; Financial Services,
                                                    Reserve Bank of India
                                                ,",https://www.globaldata.com/esg/regulatorysummary/basel-iii-capital-regulations-of-the-rbi,Basel III Capital Regulations of the RBI,"Tuesday, 16 May 2023","All Scheduled Commercial Banks
(Excluding Small Finance Banks, Payments Banks
and Regional Rural Banks) The RBI published a Master Circular on Basel III capital standards, incorporating applicable instructions, on May 12th, 2023."
"9 May 2023,The SEC of Philippines has adopted ASEAN SRF Standards,Philippines; Asia,Governance; Ethics; Risk Management; Sustainable Finance; Green Bonds; Green Loans,Investment Banking; Capital Markets; Investments and Asset Management; Risk management; Financial Services,
                                                    Securities and Exchange Commission Philippines
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-sec-of-philippines-has-adopted-asean-srf-standards,The SEC of Philippines has adopted ASEAN SRF Standards,"Wednesday, 10 May 2023","The ASEAN SRFS provides minimum disclosure and reporting requirements that can be consistently applied to collective investment schemes (CIS) in the region, and addresses the need for comparable, uniform, and transparent information disclosure to mitigate the risk of greenwashing, among other things. The new standards are consistent with the ASEAN Framework for Cross-Border Offering of Collective Investment Schemes (CIS Framework).They apply to local investment companies, including sub-funds of umbrella funds, and fund managers who want to qualify under the ASEAN SRFS and offer either locally or cross-border under the ASEAN CIS Framework, as well as CIS operators and foreign Sustainable and Responsible Funds who want to offer in the Philippines under the ASEAN CIS Framework."
"5 May 2023,Updated Manual of Forex Regulations published by BSP,Philippines; Asia,Sustainable Finance; Governance,Capital Markets; Investment Banking; Risk management; Financial Services,
                                                    Bangko Sentral ng Pilipinas
                                                ,",https://www.globaldata.com/esg/regulatorysummary/updated-manual-of-forex-regulations-published-by-bsp,Updated Manual of Forex Regulations published by BSP,"Monday, 08 May 2023","The BSP updated Manual of Regulations on Foreign Exchange activities on May 8, 2023, compiling all forms, changes, and regulations on foreign exchange and related activities since 1993."
"4 May 2023,SEBI Strengthens Transition Bond Disclosure Requirements,India; Asia,Sustainable Finance; Green Loans; Green Bonds; Systemic Risk Management; Related Party Transactions; Climate Change; Carbon Emissions; Social; Environment; Governance; Ethics; Corruption and Bribery; Risk Management; Community Impact; Fairly Traded,Commercial Banking; Investment Banking; Investments and Asset Management; Risk management; Financial Services,
                                                    Securities and Exchange Board of India
                                                ,",https://www.globaldata.com/esg/regulatorysummary/sebi-strengthens-transition-bond-disclosure-requirements,SEBI Strengthens Transition Bond Disclosure Requirements,"Friday, 05 May 2023","According to the Securities and Exchange Board of India (Sebi), issuers of transition bonds would be required to make additional disclosures to guarantee that monies collected are for legitimate purposes. To distinguish themselves from other types of green debt security, debt instruments must include GB-T in the term sheet's type of instrument field, and issuers must provide interim targets and indicators of how much they plan to cut their emissions. Sebi further stated that the transition plan's implementation should be reviewed by an appropriate committee."
"3 May 2023,Strict new regulations to combat corruption in the EU and beyond,Europe,Governance; Ethics; Corruption and Bribery; Environment; Social; Lobbying; Money Laundering; Political Contributions; Related Party Transactions; Whistle Blowing Policy,Providers; Government and Non-Profit Organisations; Financial Services,
                                                    European Commission
                                                ,",https://www.globaldata.com/esg/regulatorysummary/strict-new-regulations-to-combat-corruption-in-the-eu-and-beyond,Strict new regulations to combat corruption in the EU and beyond,"Friday, 05 May 2023","The anti-corruption recommendations made today mark a turning point in the war against corruption on both the national and EU levels. The Commission will take stronger action, building on current initiatives, stepping up efforts to incorporate anti-corruption prevention into the creation of EU policies and programmes, and actively aiding Member States in their attempts to enact effective anti-corruption laws and policies. A proposal from the High Representative to establish a dedicated Common Foreign and Security Policy (CFSP) sanctions regime to target serious acts of corruption globally is supported by the Commission. Other measures include new and strengthened rules criminalising corruption offences and harmonising penalties across the EU. These new measures improve enforcement tools while putting a heavy emphasis on prevention and fostering an environment of integrity where corruption is not tolerated."
"3 May 2023,SEC Adopts Amendments to Improve Reporting on Private Funds (Form PF),North America; United States,Risk Management; Ethics; Governance; Sustainable Finance,Investments and Asset Management; Risk management; Financial Services; Wealth Management & Private Banking,
                                                    
                                                ,",https://www.globaldata.com/esg/regulatorysummary/sec-adopts-amendments-to-improve-reporting-on-private-funds-form-pf,SEC Adopts Amendments to Improve Reporting on Private Funds (Form PF),"Friday, 05 May 2023","The secret reporting form for a few SEC-registered investment advisers to private funds, Form PF, was modified by the Securities and Exchange Commission (SEC). The modifications, among other changes, mandate that all private equity fund advisors and major hedge fund advisers file current reports upon the occurrence of specific reporting events that could signal considerable stress on a fund or investor injury. The changes for current reporting will go into effect six months after the Adopting Release is published in the Federal Register, and the remaining changes will take effect a year after that."
"28 Apr 2023,The European Parliament has approved EU Corporate Sustainability Due Diligence Directive (CS3D),Europe,Shareholder Engagement; Social; Environment; Fairly Traded; Risk Management; Ethics; Corporate Structure; Corruption and Bribery; Governance,Consumer; Agriculture & Forestry; Transportation; Infrastructure and Logistics; Chemicals; Packaging; Automotive; Financial Services; Construction,
                                                    European Commission
                                                ,",https://www.globaldata.com/esg/regulatorysummary/the-european-parliament-has-approved-eu-corporate-sustainability-due-diligence-directive-cs3d,The European Parliament has approved EU Corporate Sustainability Due Diligence Directive (CS3D),"Friday, 28 April 2023","The EU Corporate Sustainability Due Diligence Directive (CS3D), which would impact 12,800 EU corporations and 4,000 non-EU companies, was passed by the European Parliament. The business supply networks are the focus of the CS3D. Companies will need to determine and reduce any detrimental effects on human rights and the environment throughout their value chains. Companies will be required to adopt a transition plan in accordance with the Paris Climate Agreement (1.5C of warming), and directors of businesses with more than 1,000 employees will be held accountable for doing so."
"28 Apr 2023,XRB has released new disclosure guidelines regarding climate change,Asia-Pacific; New Zealand; Oceania,Governance; Environment; Circular Economy; Social; Carbon Emissions; Climate Change; Sustainable Finance,Agriculture & Forestry; Government and Non-Profit Organisations; Transportation; Infrastructure and Logistics; Business and Consumer Services; Financial Services,
                                                    Government of New Zealand
                                                ,",https://www.globaldata.com/esg/regulatorysummary/xrb-has-released-new-disclosure-guidelines-regarding-climate-change,XRB has released new disclosure guidelines regarding climate change,"Saturday, 29 April 2023","The Bill to Amend the Financial Sector (Climate-Related Disclosures and Other Matters) was passed and granted royal assent in October 2021. As a result, the XRB was given the authority to publish guidelines on non-financial issues as well as climate standards as part of a framework for climate-related disclosures. By creating a framework for climate-related disclosures for Aotearoa New Zealand, the External Reporting Board (XRB) has addressed urgent challenges in climate change, and finally released the final requirements. Aotearoa New Zealand Climate Standards' main objective is to aid in the capitalization of ventures that promote the transition to a low-emissions, climate-resilient future."
"26 Apr 2023,Rules for RWADRC Calculations,Brazil; South America,Risk Management; Governance; Ethics; Systemic Risk Management,Investment Banking; Capital Markets; Investments and Asset Management; Risk management; Financial Services; Wealth Management & Private Banking,
                                                    
                                                ,",https://www.globaldata.com/esg/regulatorysummary/rules-for-rwadrc-calculations,Rules for RWADRC Calculations,"Friday, 28 April 2023","By employing a standardised approach, this resolution creates calculation processes based on the daily value of the percentage of risk-weighted assets (RWA) attributable to exposures to credit risk of financial instruments categorised in the trading portfolio (RWADRC) - Default Risk Capital."
